list,category,id,name,brand,price,dimension10,metric5,position
Bacanie & Lichide,Bacanie & Lichide,10502171,"Vin Alb Viile Metamorfosis Muscat Ottonel & Tamaioasa Romaneasca Eco, Sec, 0.75l",Viile Metamorfosis,29.9,available,0,481
Bacanie & Lichide,Bacanie & Lichide,10504900,"Vin alb Sarica Niculitel 1958, demisec 0.75 l",Sarica Niculitel,11.9,available,0,482
Bacanie & Lichide,Bacanie & Lichide,10507035,"Vin spumant Zarea Fresco alb sec, 10%, 0.75L",Zarea,25.9,available,0,483
Bacanie & Lichide,Bacanie & Lichide,10507289,"Vin spumant Meszaros Pal Muscatello Frizant demidulce, 0.75L",Meszaros,26.9,available,0,484
Bacanie & Lichide,Bacanie & Lichide,10507401,"Vin Spumant Zarea, Floral Cllection, Rose, Demisec, 0.75l",Zarea,30.9,available,0,485
Bacanie & Lichide,Bacanie & Lichide,14510278,Miez de nuca Colonial 250 g,Colonial,11.99,available,0,486
Bacanie & Lichide,Bacanie & Lichide,10507329,Vin rose demisec Familia Darabont BO Merlot 0.75L,Familia Darabont,26.9,available,0,487
Bacanie & Lichide,Bacanie & Lichide,10507287,Vin rose sec Meszaros Pal 0.75L,Meszaros Pal,26.9,available,0,488
Bacanie & Lichide,Bacanie & Lichide,10507288,Vin alb sec Meszaros Szekszardi Irsai Oliver 0.75L,Meszaros Szekszardi,27.9,available,0,489
Bacanie & Lichide,Bacanie & Lichide,10507332,Vin alb sec Familia Darabont DA Feteasca Regala 0.75l,Familia Darabont,26.9,available,0,490
Bacanie & Lichide,Bacanie & Lichide,10507519,"Vin alb Gramofon Chardonnay, Sec, 0.75 L",Gramofon,30.9,available,0,491
Bacanie & Lichide,Bacanie & Lichide,10507175,"Vin Rose Verite Cabernet Sauvignon, Sec, 0.75L",Rose Verite,26.9,available,0,492
Bacanie & Lichide,Bacanie & Lichide,10507174,"Vin Rose Verite Busuioaca de Bohotin, Demidulce, 0.75L",Rose Verite,26.9,available,0,493
Bacanie & Lichide,Bacanie & Lichide,10507517,Vin alb Gramofon Cuvee Chardonnay si Sauvignon Blanc 0.75L,Gramofon,38.9,available,0,494
Bacanie & Lichide,Bacanie & Lichide,10507518,Vin alb sec Gramofon Sauvignon Blanc 0.75L,Gramofon,30.9,available,0,495
Bacanie & Lichide,Bacanie & Lichide,10507520,Vin alb Gramofon Feteasca Regala 0.75L,Gramofon,30.9,available,0,496
Bacanie & Lichide,Bacanie & Lichide,10507559,"Prosecco Maschio Valdobiadenne Millesimato DOCG, 375ml",Maschio,28.9,available,0,497
Bacanie & Lichide,Bacanie & Lichide,10507724,Vin alb demisec Jidvei Weinland Sauvignon Blanc 0.75L,Jidvei,15.9,available,0,498
Bacanie & Lichide,Bacanie & Lichide,10507516,"Vin rose Gramofon Feteasca Neagra & Merlot, sec, 0.75L",Gramofon,30.9,available,0,499
Bacanie & Lichide,Bacanie & Lichide,10507879,"Vin spumant brut Veuve du Vernat, 0% alcool 0.75L",Veuve du Vernat,39.9,available,0,500
Bacanie & Lichide,Bacanie & Lichide,10507338,Vin rosu Crama Bucium demidulce 3L,Bucium,30.9,available,0,501
Bacanie & Lichide,Bacanie & Lichide,10507337,Vin alb Crama Bucium demisec 3L,Bucium,30.9,available,0,502
Bacanie & Lichide,Bacanie & Lichide,10004234,Gin Roku Japanese Craft  43% Vol. 0.7L,Roku,119.99,available,0,503
Bacanie & Lichide,Bacanie & Lichide,10002765,Coniac Courvoisier 0.7L,Courvoisier,139.99,available,0,504
Bacanie & Lichide,Bacanie & Lichide,14500032,Castraveti In Otet 3-6 Cm Carrefour Classic 670 g,Carrefour Classic,6.65,available,0,505
Bacanie & Lichide,Bacanie & Lichide,10005330,"Vin spumant alb Veuve Du Vernay Ice, 0.75L",Veuve du Vernay,39.9,available,0,506
Bacanie & Lichide,Bacanie & Lichide,10005331,"Vin spumant rose Veuve Du Vernay Ice, 0.75L",Veuve du Vernay,39.9,available,0,507
Bacanie & Lichide,Bacanie & Lichide,10500469,"Vin rosu sec, Budureasca Bio Merlot, alcool 13.5%, 0.75L",Budureasca,50.9,available,0,508
Bacanie & Lichide,Bacanie & Lichide,10501784,"Vin rosu sec, Budureasca Origini Cabernet Sauvignon, 0.75L",Budureasca,52.9,available,0,509
Bacanie & Lichide,Bacanie & Lichide,10504755,"Vin alb sec, Budureasca Origini Sauvignon Blanc, 0.75L",Budureasca,69.9,available,0,510
Bacanie & Lichide,Bacanie & Lichide,12003668,"Vin spumant alb Martini Sparkling, brut, 0.75 L",Martini,41.9,available,0,511
Bacanie & Lichide,Bacanie & Lichide,12003447,"Vin rose sec, Byzantium, 0.75L",Byzantium,24.9,available,0,512
Bacanie & Lichide,Bacanie & Lichide,10504011,"Vin spumant alb Mionetto Prosecco D.O.C. Linea Prestige BIO, extra dry, 11%, 0.75 L",Mionetto,46.9,available,0,513
Bacanie & Lichide,Bacanie & Lichide,10504487,"Vin spumant alb Mionetto Prosecco Superiore D.O.C.G. Valdobbiadene Yellow, extra dry, 11%, 0.75 L",Mionetto,39.9,available,0,514
Bacanie & Lichide,Bacanie & Lichide,12005078,"Vin spumant rose, Rhein Extra Brut, 0.75L",Rhein,37.9,available,0,515
Bacanie & Lichide,Bacanie & Lichide,10500097,"Vin rosu sec, Merlot Emeritus Rotenberg, sec, 0.75 L",Rotenberg,59.9,available,0,516
Bacanie & Lichide,Bacanie & Lichide,10504443,"Vin rose sec, Vartely Individo Cabernet&Merlot, 0.75L",Chateau Vartely,36.9,available,0,517
Bacanie & Lichide,Bacanie & Lichide,12005340,"Vin rosu Cabernet Sauvignon Prestige Cricova, sec, 0.75 L",Cricova,30.9,available,0,518
Bacanie & Lichide,Bacanie & Lichide,10503276,"Vin alb Aurelia Visinescu, Promessa Chardonnay, 0.75L",Aurelia Visinescu,27.9,available,0,519
Bacanie & Lichide,Bacanie & Lichide,10504540,"Vin alb demisec, Domeniul Bogdan Sauvignon Blanc, 0.75L",Domeniul Bogdan,26.9,available,0,520
Bacanie & Lichide,Bacanie & Lichide,10504541,"Vin alb demidulce, Domeniul Bogdan Muscat Ottonel, 0.75L",Domeniul Bogdan,26.9,available,0,521
Bacanie & Lichide,Bacanie & Lichide,10504542,"Vin rose demisec, Domeniul Bogdan, 0.75L",Domeniul Bogdan,26.9,available,0,522
Bacanie & Lichide,Bacanie & Lichide,10504543,"Vin rosu demisec, Domeniul Bogdan Syrah & Merlot, 0.75L",Domeniul Bogdan,26.9,available,0,523
Bacanie & Lichide,Bacanie & Lichide,10504544,"Vin rosu, Domeniul Bogdan Feteasca Neagra & Merlot, 0.75L",Domeniul Bogdan,26.9,available,0,524
Bacanie & Lichide,Bacanie & Lichide,10505229,"Vin rose, Serafim, 0.75L",Licorna,28.9,available,0,525
Bacanie & Lichide,Bacanie & Lichide,10505461,"Vin rosu sec, Aurelia Visinescu Red Artisan, 0.75L",Aurelia Visinescu,39.9,available,0,526
Bacanie & Lichide,Bacanie & Lichide,10505973,"Vin rosu, Aurelia Visinescu Karakter Cabernet Sauvignon, 0.75L",Aurelia Visinescu,39.9,available,0,527
Bacanie & Lichide,Bacanie & Lichide,10505357,"Vin rosu sec, Gimenez Mendez Alta Reserva Tannat, 0.75L",Gimenez Mendez,89.9,available,0,528
Bacanie & Lichide,Bacanie & Lichide,10502730,"Vin rosu sec, Mirabilis Machina Cabernet Sauvignon&Feteasca Neagra, 0,75 L",Vincon,46.9,available,0,529
Bacanie & Lichide,Bacanie & Lichide,10505847,"Vin rosu sec, Rod de Lechinta, 0.75L",Lechinta,31.9,available,0,530
Bacanie & Lichide,Bacanie & Lichide,10505878,"Vin rose sec, Pietroasa Research&Innovation, Busuioaca de Bohotin, 0.75L",Bodega Pietroasa,19.9,available,0,531
Bacanie & Lichide,Bacanie & Lichide,10505498,"Vin rosu sec, Avincis Grandiflora Merlot, 0.75L",Avincis,113.9,available,0,532
Bacanie & Lichide,Bacanie & Lichide,10505206,"Vin rose sec, Gitana Winery, alcool 13.5%, 0.75L",Gitana Winery,29.9,available,0,533
Bacanie & Lichide,Bacanie & Lichide,10503407,"Vin rosu sec, Tata si Fiul, Feteasca Neagra, 0.75L",Tata & Fiul,27.9,available,0,534
Bacanie & Lichide,Bacanie & Lichide,10505514,"Vin alb Petiant Mademoiselle Blue, demisec, 0.75 L",Crama Hermeziu,27.9,available,0,535
Bacanie & Lichide,Bacanie & Lichide,10505820,"Vin rosu Acvila Merlot, demisec, 0.75 L",Kultura,23.9,available,0,536
Bacanie & Lichide,Bacanie & Lichide,10505515,"Vin rose Petiant Mademoiselle, demisec, 0.75 L",Crama Hermeziu,27.9,available,0,537
Bacanie & Lichide,Bacanie & Lichide,10505978,"Vin alb, Frescobaldi Attems, Chardonnay, 0.75L",Frescobaldi,84.9,available,0,538
Bacanie & Lichide,Bacanie & Lichide,10501836,"Vin alb sec, Purcari Vintage, Alb de Purcari, 0.75L",Purcari,84.9,available,0,539
Bacanie & Lichide,Bacanie & Lichide,10502172,"Vin rose Metamorfosis, sec, 0.75 L",Viile Metamorfosis,20.9,available,0,540
Bacanie & Lichide,Bacanie & Lichide,10503704,"Vin alb, Livia Sarba, DOC Cotesti, 0.75L",Crama Girboiu,21.9,available,0,541
Bacanie & Lichide,Bacanie & Lichide,10505038,"Vin alb demisec, Nostalgia Tamaioasa Romaneasca, 0.75L",Crama Viisoara,16.9,available,0,542
