available,manufacturerName,manufacturerSubBrandName,code,badges,images,name,productPackagingQuantity,productProposedPackaging2,url,formattedValue,discountedPriceFormatted,feeValue,potentialPromotion,potentialPromotionEndDate,quantity
True,Lipton,Ice Tea,42506,[],"['https://static.mega-image.ro/medias/sys_master/h4d/h25/9277875879966.jpg', 'https://static.mega-image.ro/medias/sys_master/h97/hf8/9277875814430.jpg', 'https://static.mega-image.ro/medias/sys_master/hf5/h94/9277876142110.jpg', 'https://static.mega-image.ro/medias/sys_master/h69/h6c/9277875748894.jpg', 'https://static.mega-image.ro/medias/sys_master/hf5/h94/9277876142110.jpg', 'https://static.mega-image.ro/medias/sys_master/h1e/h92/9277876338718.jpg']",Bautura racoritoare cu ceai negru si lamaie ,1.0,,/Apa-si-sucuri/Sucuri/Ice-tea/Bautura-racoritoare-cu-ceai-negru-si-lamaie-0-5L/p/42506,5.59,4.75,0.5,CONNECT -15%,15/05/2024 20:59:00,0.5l
True,Fanta,,41832,[],"['https://static.mega-image.ro/medias/sys_master/h7f/h62/9268127957022.jpg', 'https://static.mega-image.ro/medias/sys_master/h61/h06/9268127891486.jpg', 'https://static.mega-image.ro/medias/sys_master/h76/h5a/9268128219166.jpg', 'https://static.mega-image.ro/medias/sys_master/hfe/hdc/9268127825950.jpg', 'https://static.mega-image.ro/medias/sys_master/h76/h5a/9268128219166.jpg', 'https://static.mega-image.ro/medias/sys_master/ha2/hb5/9268128415774.jpg']",Bautura racoritoare carbogazoasa cu suc de portocale ,1.0,,/Apa-si-sucuri/Sucuri/Carbogazoase/Bautura-racoritoare-carbogazoasa-cu-suc-de-portocale-1-25L/p/41832,8.49,6.45,0.5,CONNECT -24%,15/05/2024 20:59:00,1.25l
True,Ciuc Radler,,56917,[],"['https://static.mega-image.ro/medias/sys_master/h00/h21/9275229536286.jpg', 'https://static.mega-image.ro/medias/sys_master/h1a/h02/9275229470750.jpg', 'https://static.mega-image.ro/medias/sys_master/h40/hb9/9275229798430.jpg', 'https://static.mega-image.ro/medias/sys_master/h0b/h29/9275229405214.jpg', 'https://static.mega-image.ro/medias/sys_master/h40/hb9/9275229798430.jpg', 'https://static.mega-image.ro/medias/sys_master/hb2/hfd/9275229995038.jpg']",Bere fara alcool cu suc de zmeura si lamaie ,1.0,,/Bauturi/Bere-si-Cidru/Bere-cu-arome/Bere-fara-alcool-cu-suc-de-zmeura-si-lamaie-0-33L/p/56917,4.59,3.9,0.5,-15%,29/05/2024 20:59:00,0.33l
True,Cappy Pulpy,,42466,[],"['https://static.mega-image.ro/medias/sys_master/hc7/h13/9275221442590.jpg', 'https://static.mega-image.ro/medias/sys_master/h99/h6a/9275221377054.jpg', 'https://static.mega-image.ro/medias/sys_master/h8e/h75/9275221704734.jpg', 'https://static.mega-image.ro/medias/sys_master/h94/h38/9275221311518.jpg', 'https://static.mega-image.ro/medias/sys_master/h8e/h75/9275221704734.jpg', 'https://static.mega-image.ro/medias/sys_master/hb0/hb7/9275221901342.jpg']",Bautura racoritoare cu suc si pulpa de grepfrut roz ,1.0,,/Apa-si-sucuri/Sucuri/Necarbogazoase/Bautura-racoritoare-cu-suc-si-pulpa-de-grepfrut-roz-1-5L/p/42466,9.4,7.99,0.5,CONNECT -15%,15/05/2024 20:59:00,1.5l
True,Lipton,Ice Tea,54974,[],"['https://static.mega-image.ro/medias/sys_master/hc4/h09/9277928833054.jpg', 'https://static.mega-image.ro/medias/sys_master/h15/hca/9277928767518.jpg', 'https://static.mega-image.ro/medias/sys_master/h0b/he6/9277929095198.jpg', 'https://static.mega-image.ro/medias/sys_master/hbe/hb6/9277928701982.jpg', 'https://static.mega-image.ro/medias/sys_master/h0b/he6/9277929095198.jpg', 'https://static.mega-image.ro/medias/sys_master/hcf/h3d/9277929291806.jpg']",Bautura racoritoare cu ceai negru si suc de zmeura ,1.0,,/Apa-si-sucuri/Sucuri/Ice-tea/Bautura-racoritoare-cu-ceai-negru-si-suc-de-zmeura-0-5L/p/54974,5.59,4.75,0.5,CONNECT -15%,15/05/2024 20:59:00,0.5l
True,Sprite,,42275,[],"['https://static.mega-image.ro/medias/sys_master/he1/haf/9268435615774.jpg', 'https://static.mega-image.ro/medias/sys_master/h8e/hc3/9268435550238.jpg', 'https://static.mega-image.ro/medias/sys_master/haf/h2c/9268435877918.jpg', 'https://static.mega-image.ro/medias/sys_master/h9a/h12/9268435484702.jpg', 'https://static.mega-image.ro/medias/sys_master/haf/h2c/9268435877918.jpg', 'https://static.mega-image.ro/medias/sys_master/hc5/h5a/9268436074526.jpg']",Bautura racoritoare carbogazoasa  ,1.0,,/Apa-si-sucuri/Sucuri/Carbogazoase/Bautura-racoritoare-carbogazoasa-1-25L/p/42275,8.49,6.45,0.5,CONNECT -24%,15/05/2024 20:59:00,1.25l
True,Meglio,,61055,[],"['https://static.mega-image.ro/medias/sys_master/h6f/h62/9271864492062.jpg', 'https://static.mega-image.ro/medias/sys_master/ha3/hc4/9271864426526.jpg', 'https://static.mega-image.ro/medias/sys_master/hc6/heb/9271864754206.jpg', 'https://static.mega-image.ro/medias/sys_master/h13/h5e/9271864360990.jpg', 'https://static.mega-image.ro/medias/sys_master/hc6/heb/9271864754206.jpg', 'https://static.mega-image.ro/medias/sys_master/h52/h24/9271864950814.jpg']",Degresant universal ,1.0,,/Curatenie-si-nealimentare/Curatenie-casa/Detergenti-universali/Degresant-universal-750ml/p/61055,16.59,13.6,,CONNECT -18%,22/05/2024 20:59:00,750ml
True,Tymbark,,43612,[],"['https://static.mega-image.ro/medias/sys_master/he4/h0b/9273357336606.jpg', 'https://static.mega-image.ro/medias/sys_master/h19/h53/9273357271070.jpg', 'https://static.mega-image.ro/medias/sys_master/hf8/he9/9273357598750.jpg', 'https://static.mega-image.ro/medias/sys_master/hd2/h85/9273357205534.jpg', 'https://static.mega-image.ro/medias/sys_master/hf8/he9/9273357598750.jpg', 'https://static.mega-image.ro/medias/sys_master/h86/ha5/9273357795358.jpg']","Bautura racoritoare necarbonatata cu suc de lamaie, mere si menta ",1.0,,/Apa-si-sucuri/Sucuri/Necarbogazoase/Bautura-racoritoare-necarbonatata-cu-suc-de-lamaie-mere-si-menta-250ml/p/43612,3.59,3.05,0.5,-15%,15/05/2024 20:59:00,250ml
True,Tymbark,,43182,[],"['https://static.mega-image.ro/medias/sys_master/h53/hc2/9276937043998.jpg', 'https://static.mega-image.ro/medias/sys_master/h35/h32/9276936978462.jpg', 'https://static.mega-image.ro/medias/sys_master/h12/he9/9276937306142.jpg', 'https://static.mega-image.ro/medias/sys_master/h3a/h64/9276936912926.jpg', 'https://static.mega-image.ro/medias/sys_master/h12/he9/9276937306142.jpg', 'https://static.mega-image.ro/medias/sys_master/hd5/h06/9276937502750.jpg']","Bautura racoritoare mere, zmeura, menta ",1.0,,/Apa-si-sucuri/Sucuri/Necarbogazoase/Bautura-racoritoare-mere-zmeura-menta-250ml/p/43182,3.59,3.05,0.5,-15%,15/05/2024 20:59:00,250ml
True,Tymbark,,43536,[],"['https://static.mega-image.ro/medias/sys_master/hd3/h21/9273359499294.jpg', 'https://static.mega-image.ro/medias/sys_master/hd8/h53/9273359433758.jpg', 'https://static.mega-image.ro/medias/sys_master/h6e/ha3/9273359761438.jpg', 'https://static.mega-image.ro/medias/sys_master/h38/h28/9273359368222.jpg', 'https://static.mega-image.ro/medias/sys_master/h6e/ha3/9273359761438.jpg', 'https://static.mega-image.ro/medias/sys_master/ha4/ha9/9273359958046.jpg']",Bautura racoritoare necarbogazoasa cu suc de mere si visine ,1.0,,/Apa-si-sucuri/Sucuri/Necarbogazoase/Bautura-racoritoare-necarbogazoasa-cu-suc-de-mere-si-visine-250ml/p/43536,3.59,3.05,0.5,-15%,15/05/2024 20:59:00,250ml
True,Kuznetzoff,,43074,[],"['https://static.mega-image.ro/medias/sys_master/h29/hd1/9282379055134.jpg', 'https://static.mega-image.ro/medias/sys_master/h08/h59/9282378989598.jpg', 'https://static.mega-image.ro/medias/sys_master/hd4/h5d/9282379317278.jpg', 'https://static.mega-image.ro/medias/sys_master/h12/h89/9282378924062.jpg', 'https://static.mega-image.ro/medias/sys_master/hd4/h5d/9282379317278.jpg', 'https://static.mega-image.ro/medias/sys_master/h13/h92/9282379513886.jpg']",Vodka  ,1.0,,/Bauturi/Bauturi-aperitive-si-spirtoase/Vodca/Vodka-0-5L/p/43074,28.27,19.79,0.5,-30%,15/05/2024 20:59:00,0.5l
